bedrooms,bathrooms,toilets,parking_space,title,town,state,price,price_raw,price_winsorized,log_price,total_rooms,total_wet_rooms,bathroom_bedroom_ratio,toilet_bedroom_ratio,parking_per_bedroom,has_parking,market_hub,price_band
6,6,7,4,Detached Duplex,Lekki,Lagos,275000000,275000000,275000000,19.432281659267208,19,13,1,1.1666666666666667,0.6666666666666666,Has parking,Prime commercial hub,5
4,4,5,7,Detached Duplex,Lekki,Lagos,190000000,190000000,190000000,19.06253463538792,13,9,1,1.25,1.75,Has parking,Prime commercial hub,4
3,3,3,4,Detached Bungalow,Ipaja,Lagos,24000000,24000000,24000000,16.993564429978885,9,6,1,1,1.3333333333333333,Has parking,Prime commercial hub,1
4,4,5,4,Terraced Duplexes,Magodo,Lagos,75000000,75000000,75000000,18.132998684833918,13,9,1,1.25,1,Has parking,Prime commercial hub,3
4,5,5,4,Block Of Flats,Owerri Municipal,Imo,130000000,130000000,130000000,18.683045016112164,14,10,1.25,1.25,1,Has parking,Emerging market,4
5,5,6,1,Detached Duplex,Lekki,Lagos,250000000,250000000,250000000,19.33697147982652,16,11,1,1.2,0.2,Has parking,Prime commercial hub,5
6,6,7,6,Detached Duplex,Ikoyi,Lagos,1300000000,1300000000,1300000000,20.985630102183134,19,13,1,1.1666666666666667,1,Has parking,Prime commercial hub,5
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,48000000,48000000,48000000,17.6867115897055,13,9,1,1.25,1,Has parking,Prime commercial hub,2
4,5,5,2,Detached Bungalow,Ado-Odo/Ota,Ogun,6000000,6000000,6000000,15.607270193858982,14,10,1.25,1.25,0.5,Has parking,Major growth corridor,1
3,3,4,2,Detached Bungalow,Ajah,Lagos,42000000,42000000,42000000,17.553180200057167,10,7,1,1.3333333333333333,0.6666666666666666,Has parking,Prime commercial hub,2
5,5,5,4,Detached Duplex,Magodo,Lagos,85000000,85000000,85000000,18.258161826219297,15,10,1,1,0.8,Has parking,Prime commercial hub,3
4,4,5,4,Detached Duplex,Lekki,Lagos,90000000,90000000,90000000,18.31532023940565,13,9,1,1.25,1,Has parking,Prime commercial hub,3
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,65000000,65000000,65000000,17.989897843244528,13,9,1,1.25,0.75,Has parking,Prime commercial hub,3
3,2,2,2,Block Of Flats,Ikeja,Lagos,300000000,300000000,300000000,19.519293035953808,7,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,Has parking,Prime commercial hub,5
4,4,5,4,Terraced Duplexes,Lekki,Lagos,70000000,70000000,70000000,18.064005814299346,13,9,1,1.25,1,Has parking,Prime commercial hub,3
3,3,4,3,Semi Detached Duplex,Magodo,Lagos,85000000,85000000,85000000,18.258161826219297,10,7,1,1.3333333333333333,1,Has parking,Prime commercial hub,3
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,75000000,75000000,75000000,18.132998684833918,13,9,1,1.25,1,Has parking,Prime commercial hub,3
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,80000000,80000000,80000000,18.197537205138154,14,10,1.25,1.25,1,Has parking,Prime commercial hub,3
5,5,6,5,Detached Duplex,Lekki,Lagos,160000000,160000000,160000000,18.8906843794481,16,11,1,1.2,1,Has parking,Prime commercial hub,4
4,5,5,5,Detached Bungalow,Port Harcourt,Rivers,32000000,32000000,32000000,17.281246492014,14,10,1.25,1.25,1.25,Has parking,Major growth corridor,1
3,4,5,6,Detached Bungalow,Ibeju Lekki,Lagos,20000000,20000000,20000000,16.811242881518265,12,9,1.3333333333333333,1.6666666666666667,2,Has parking,Prime commercial hub,1
4,4,5,3,Detached Duplex,Lekki,Lagos,75000000,75000000,75000000,18.132998684833918,13,9,1,1.25,0.75,Has parking,Prime commercial hub,3
5,5,6,3,Terraced Duplexes,Lekki,Lagos,65000000,65000000,65000000,17.989897843244528,16,11,1,1.2,0.6,Has parking,Prime commercial hub,3
4,4,5,4,Terraced Duplexes,Dape,Abuja,45000000,45000000,45000000,17.622173069956816,13,9,1,1.25,1,Has parking,Prime commercial hub,2
3,4,4,4,Terraced Duplexes,Lekki,Lagos,36000000,36000000,36000000,17.399029524198163,11,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,Has parking,Prime commercial hub,2
